company_code,bp_id,bp_type,bp_group,payment_terms,active_flag
CANON,CU-00382,customer,,,1
CANON,CU-00402,customer,,,1
CANON,CU-00403,customer,,,1
CANON,CU-00422,customer,,,1
CANON,CU-00431,customer,,,1
CANON,CU-00434,customer,,,1
CANON,CU-00466,customer,,,1
CANON,CU-00505,customer,,,1
CANON,CU-00506,customer,,,1
CANON,CU-00510,customer,,,1
CANON,CU-00536,customer,,,1
CANON,CU-00548,customer,,,1
CANON,CU-00550,customer,,,1
CANON,CU-00558,customer,,,1
CANON,CU-00596,customer,,,1
CANON,CU-00630,customer,,,1
CANON,CU-00686,customer,,,1
CANON,CU-00717,customer,,,1
CANON,CU-00728,customer,,,1
CANON,CU-00743,customer,,,1
CANON,CU-00747,customer,,,1
CANON,CU-00781,customer,,,1
CANON,CU-00783,customer,,,1
CANON,CU-00795,customer,,,1
CANON,CU-00815,customer,,,1
CANON,CU-00838,customer,,,1
CANON,CU-00846,customer,,,1
CANON,CU-00861,customer,,,1
CANON,CU-00865,customer,,,1
CANON,CU-00870,customer,,,1
CANON,CU-00896,customer,,,1
CANON,CU-00899,customer,,,1
CANON,CU-00912,customer,,,1
CANON,CU-00916,customer,,,1
CANON,CU-00922,customer,,,1
CANON,CU-00925,customer,,,1
CANON,CU-00930,customer,,,1
CANON,CU-00938,customer,,,1
CANON,CU-00944,customer,,,1
CANON,CU-00950,customer,,,1
CANON,CU-00953,customer,,,1
CANON,CU-00967,customer,,,1
CANON,CU-00972,customer,,,1
CANON,CU-00979,customer,,,1
CANON,CU-01029,customer,,,1
CANON,CU-01038,customer,,,1
CANON,CU-01055,customer,,,1
CANON,CU-01069,customer,,,1
CANON,CU-01078,customer,,,1
CANON,CU-01087,customer,,,1
CANON,CU-01121,customer,,,1
CANON,CU-01125,customer,,,1
CANON,CU-01150,customer,,,1
CANON,CU-01179,customer,,,1
CANON,CU-01184,customer,,,1
CANON,CU-01226,customer,,,1
CANON,CU-01239,customer,,,1
CANON,CU-01247,customer,,,1
CANON,CU-01269,customer,,,1
CANON,CU-01275,customer,,,1
CANON,CU-01276,customer,,,1
CANON,CU-01292,customer,,,1
CANON,CU-01297,customer,,,1
CANON,CU-01299,customer,,,1
CANON,CU-01304,customer,,,1
CANON,CU-01305,customer,,,1
CANON,CU-01310,customer,,,1
CANON,CU-01314,customer,,,1
CANON,CU-01319,customer,,,1
CANON,CU-01330,customer,,,1
CANON,CU-01332,customer,,,1
CANON,CU-01345,customer,,,1
CANON,CU-01353,customer,,,1
CANON,CU-01356,customer,,,1
CANON,CU-01359,customer,,,1
CANON,CU-01360,customer,,,1
CANON,CU-01375,customer,,,1
CANON,CU-01398,customer,,,1
CANON,CU-01402,customer,,,1
CANON,CU-01403,customer,,,1
CANON,CU-01409,customer,,,1
CANON,CU-01412,customer,,,1
CANON,CU-01446,customer,,,1
CANON,CU-01453,customer,,,1
CANON,CU-01464,customer,,,1
CANON,CU-01484,customer,,,1
CANON,CU-01493,customer,,,1
CANON,CU-01496,customer,,,1
CANON,CU-01502,customer,,,1
CANON,CU-01514,customer,,,1
CANON,CU-01521,customer,,,1
CANON,CU-01525,customer,,,1
CANON,CU-01556,customer,,,1
CANON,CU-01566,customer,,,1
CANON,CU-01569,customer,,,1
CANON,CU-01572,customer,,,1
CANON,CU-01584,customer,,,1
CANON,CU-01589,customer,,,1
CANON,CU-01591,customer,,,1
CANON,CU-01595,customer,,,1
CANON,CU-01599,customer,,,1
CANON,CU-01611,customer,,,1
CANON,CU-01622,customer,,,1
CANON,CU-01635,customer,,,1
CANON,CU-01636,customer,,,1
CANON,CU-01646,customer,,,1
CANON,CU-01656,customer,,,1
CANON,CU-01666,customer,,,1
CANON,CU-01676,customer,,,1
CANON,CU-01688,customer,,,1
CANON,CU-01697,customer,,,1
CANON,CU-01704,customer,,,1
CANON,CU-01714,customer,,,1
CANON,CU-01720,customer,,,1
CANON,CU-01732,customer,,,1
CANON,CU-01737,customer,,,1
CANON,CU-01746,customer,,,1
CANON,CU-01749,customer,,,1
CANON,CU-01776,customer,,,1
CANON,CU-01781,customer,,,1
CANON,CU-01789,customer,,,1
CANON,CU-01790,customer,,,1
CANON,CU-01802,customer,,,1
CANON,CU-01806,customer,,,1
CANON,CU-01807,customer,,,1
CANON,CU-01816,customer,,,1
CANON,CU-01817,customer,,,1
CANON,CU-01829,customer,,,1
CANON,CU-01830,customer,,,1
CANON,CU-01837,customer,,,1
CANON,CU-01839,customer,,,1
CANON,CU-01842,customer,,,1
CANON,CU-01848,customer,,,1
CANON,CU-01854,customer,,,1
CANON,CU-01868,customer,,,1
CANON,CU-01875,customer,,,1
CANON,CU-01901,customer,,,1
CANON,CU-01907,customer,,,1
CANON,CU-01923,customer,,,1
CANON,CU-01925,customer,,,1
CANON,CU-01934,customer,,,1
CANON,CU-01938,customer,,,1
CANON,CU-01946,customer,,,1
CANON,CU-01950,customer,,,1
CANON,CU-01958,customer,,,1
CANON,CU-01968,customer,,,1
CANON,CU-01972,customer,,,1
CANON,CU-01975,customer,,,1
CANON,CU-01979,customer,,,1
CANON,CU-01995,customer,,,1
CANON,CU-02005,customer,,,1
CANON,CU-02007,customer,,,1
CANON,CU-02008,customer,,,1
CANON,CU-02012,customer,,,1
CANON,CU-02016,customer,,,1
CANON,CU-02020,customer,,,1
CANON,CU-02022,customer,,,1
CANON,CU-02023,customer,,,1
CANON,CU-02026,customer,,,1
CANON,CU-02028,customer,,,1
CANON,CU-02029,customer,,,1
CANON,CU-02030,customer,,,1
CANON,CU-02036,customer,,,1
CANON,CU-02039,customer,,,1
CANON,CU-02044,customer,,,1
CANON,CU-02047,customer,,,1
CANON,CU-02056,customer,,,1
CANON,CU-02069,customer,,,1
CANON,CU-02073,customer,,,1
CANON,CU-02085,customer,,,1
CANON,CU-02091,customer,,,1
CANON,CU-02105,customer,,,1
CANON,CU-02108,customer,,,1
CANON,CU-02111,customer,,,1
CANON,CU-02129,customer,,,1
CANON,CU-02136,customer,,,1
CANON,CU-02147,customer,,,1
CANON,CU-02165,customer,,,1
CANON,CU-02166,customer,,,1
CANON,CU-02168,customer,,,1
CANON,CU-02183,customer,,,1
CANON,CU-02187,customer,,,1
CANON,CU-02188,customer,,,1
CANON,CU-02197,customer,,,1
CANON,CU-02198,customer,,,1
CANON,CU-02199,customer,,,1
CANON,CU-02200,customer,,,1
CANON,CU-02201,customer,,,1
CANON,CU-02202,customer,,,1
CANON,CU-02203,customer,,,1
CANON,CU-02204,customer,,,1
CANON,CU-02215,customer,,,1
CANON,CU-02222,customer,,,1
CANON,CU-02224,customer,,,1
CANON,CU-02225,customer,,,1
CANON,CU-02227,customer,,,1
CANON,CU-02228,customer,,,1
CANON,CU-02229,customer,,,1
CANON,CU-02230,customer,,,1
CANON,CU-02231,customer,,,1
CANON,CU-02232,customer,,,1
CANON,CU-02233,customer,,,1
CANON,CU-02234,customer,,,1
CANON,CU-02235,customer,,,1
CANON,CU-02236,customer,,,1
CANON,CU-02237,customer,,,1
CANON,CU-02238,customer,,,1
CANON,CU-02239,customer,,,1
CANON,CU-02240,customer,,,1
CANON,CU-02242,customer,,,1
CANON,CU-02243,customer,,,1
CANON,CU-02245,customer,,,1
CANON,CU-02246,customer,,,1
CANON,CU-02247,customer,,,1
CANON,CU-02248,customer,,,1
CANON,CU-02249,customer,,,1
CANON,CU-02250,customer,,,1
CANON,CU-02251,customer,,,1
CANON,CU-02253,customer,,,1
CANON,CU-02254,customer,,,1
CANON,CU-02255,customer,,,1
CANON,CU-02256,customer,,,1
CANON,CU-02257,customer,,,1
CANON,CU-02261,customer,,,1
CANON,CU-02262,customer,,,1
CANON,CU-02263,customer,,,1
CANON,CU-02265,customer,,,1
CANON,CU-02266,customer,,,1
CANON,CU-02267,customer,,,1
CANON,CU-02268,customer,,,1
CANON,CU-02269,customer,,,1
CANON,CU-02270,customer,,,1
CANON,CU-02271,customer,,,1
CANON,CU-02272,customer,,,1
CANON,CU-02273,customer,,,1
CANON,CU-02274,customer,,,1
CANON,CU-02276,customer,,,1
CANON,CU-02277,customer,,,1
CANON,CU-02278,customer,,,1
CANON,CU-02279,customer,,,1
CANON,CU-02281,customer,,,1
CANON,CU-02282,customer,,,1
CANON,CU-02283,customer,,,1
CANON,CU-02284,customer,,,1
CANON,CU-02285,customer,,,1
CANON,CU-02286,customer,,,1
CANON,CU-02287,customer,,,1
CANON,CU-02288,customer,,,1
CANON,CU-02289,customer,,,1
CANON,CU-02293,customer,,,1
CANON,CU-02294,customer,,,1
CANON,CU-02295,customer,,,1
CANON,CU-02298,customer,,,1
CANON,CU-02299,customer,,,1
CANON,CU-02300,customer,,,1
CANON,CU-02301,customer,,,1
CANON,CU-02302,customer,,,1
CANON,CU-02303,customer,,,1
CANON,CU-02304,customer,,,1
CANON,CU-02305,customer,,,1
CANON,CU-02306,customer,,,1
CANON,CU-02308,customer,,,1
CANON,CU-02309,customer,,,1
CANON,CU-02310,customer,,,1
CANON,CU-02311,customer,,,1
CANON,CU-02312,customer,,,1
CANON,CU-02313,customer,,,1
CANON,CU-02314,customer,,,1
CANON,CU-02315,customer,,,1
CANON,CU-02316,customer,,,1
CANON,CU-02317,customer,,,1
CANON,CU-02318,customer,,,1
CANON,CU-02319,customer,,,1
CANON,CU-02320,customer,,,1
CANON,CU-02321,customer,,,1
CANON,CU-02322,customer,,,1
CANON,CU-02323,customer,,,1
CANON,CU-02324,customer,,,1
CANON,CU-02325,customer,,,1
CANON,CU-02326,customer,,,1
CANON,CU-02327,customer,,,1
CANON,CU-02328,customer,,,1
CANON,CU-02329,customer,,,1
CANON,CU-02330,customer,,,1
CANON,CU-02331,customer,,,1
CANON,CU-02332,customer,,,1
CANON,CU-02333,customer,,,1
CANON,CU-02334,customer,,,1
CANON,CU-02335,customer,,,1
CANON,CU-02336,customer,,,1
CANON,CU-02337,customer,,,1
CANON,CU-02338,customer,,,1
CANON,CU-02339,customer,,,1
CANON,CU-02340,customer,,,1
CANON,CU-02342,customer,,,1
CANON,CU-02344,customer,,,1
CANON,CU-02345,customer,,,1
CANON,CU-02346,customer,,,1
CANON,CU-02347,customer,,,1
CANON,CU-02348,customer,,,1
CANON,CU-02349,customer,,,1
CANON,CU-02350,customer,,,1
CANON,CU-02351,customer,,,1
CANON,CU-02352,customer,,,1
CANON,CU-02353,customer,,,1
CANON,CU-02354,customer,,,1
CANON,CU-02355,customer,,,1
CANON,CU-02356,customer,,,1
CANON,CU-02357,customer,,,1
CANON,CU-02358,customer,,,1
CANON,CU-02360,customer,,,1
CANON,CU-02361,customer,,,1
CANON,CU-02362,customer,,,1
CANON,CU-02363,customer,,,1
CANON,CU-02364,customer,,,1
CANON,CU-02365,customer,,,1
CANON,CU-02366,customer,,,1
CANON,EM-00012,customer,,,1
CANON,EM-00033,customer,,,1
CANON,VE-00002,vendor,,,1
CANON,VE-00003,vendor,,,1
CANON,VE-00008,vendor,,,1
CANON,VE-00010,vendor,,,1
CANON,VE-00014,vendor,,,1
CANON,VE-00015,vendor,,,1
CANON,VE-00027,vendor,,,1
CANON,VE-00039,vendor,,,1
CANON,VE-00041,vendor,,,1
CANON,VE-00042,vendor,,,1
CANON,VE-00048,vendor,,,1
CANON,VE-00050,vendor,,,1
CANON,VE-00051,vendor,,,1
CANON,VE-00052,vendor,,,1
CANON,VE-00053,vendor,,,1
CANON,VE-00054,vendor,,,1
CANON,VE-00055,vendor,,,1
CANON,VE-00056,vendor,,,1
CANON,VE-00058,vendor,,,1
CANON,VE-00059,vendor,,,1
CANON,VE-00060,vendor,,,1
CANON,VE-00061,vendor,,,1
CANON,VE-00063,vendor,,,1
CANON,VE-00064,vendor,,,1
CANON,VE-00065,vendor,,,1
CANON,VE-00066,vendor,,,1
CANON,VE-00067,vendor,,,1
CANON,VE-00068,vendor,,,1
CANON,VE-00069,vendor,,,1
CANON,VE-00072,vendor,,,1
CANON,VE-00074,vendor,,,1
CANON,VE-00077,vendor,,,1
CANON,VE-00078,vendor,,,1
CANON,VE-00079,vendor,,,1
